City,Longitude,Latitude,Temp. (max),Humidity,Cloudiness,Wind Speed,Dates
Kitimat,-128.6534,54.0524,58.91,87.0,89.0,4.21,1627355273.0
Mount Gambier,140.7667,-37.8333,57.11,54.0,100.0,19.57,1627355273.0
Berezovyy,135.7,51.6667,68.14,95.0,100.0,4.41,1627355274.0
Sitka,-135.33,57.0531,64.29,63.0,40.0,0.0,1627355274.0
La Santisima Trinidad,-64.9,-14.8333,78.04,53.0,8.0,3.33,1627355274.0
Puerto Ayora,-90.3518,-0.7393,71.55,87.0,43.0,7.0,1627355121.0
Whitehorse,-135.0538,60.7161,52.02,87.0,100.0,10.0,1627355275.0
Pangoa,-73.0,-12.1167,68.99,78.0,0.0,3.06,1627355275.0
Godalming,-0.6173,51.1846,65.43,84.0,40.0,18.41,1627355275.0
Leningradskiy,178.4167,69.3833,40.69,83.0,86.0,9.62,1627355275.0
Ilulissat,-51.1,69.2167,45.1,90.0,99.0,6.89,1627355127.0
Biscarrosse,-1.1672,44.3945,60.66,94.0,20.0,0.0,1627355276.0
Carnarvon,113.6333,-24.8667,70.25,58.0,17.0,17.56,1627355035.0
Kargasok,80.8572,59.0556,59.38,58.0,29.0,15.5,1627355121.0
Faanui,-151.75,-16.4833,78.37,76.0,53.0,9.89,1627355058.0
Paamiut,-49.6678,61.994,44.74,94.0,100.0,11.97,1627355033.0
Sambava,50.1667,-14.2667,67.57,85.0,47.0,14.43,1627355277.0
Gravdal,13.5031,68.1214,54.16,91.0,24.0,8.48,1627354990.0
Khatanga,102.5,71.9667,72.72,52.0,99.0,18.72,1627355160.0
Pandan Niog,120.5631,6.2282,84.15,78.0,63.0,15.97,1627355277.0
Salinas,-121.6555,36.6777,75.22,79.0,1.0,10.36,1627355101.0
Boralday,76.8594,43.3578,78.66,44.0,40.0,11.18,1627355277.0
Haverhill,-71.0773,42.7762,75.92,88.0,1.0,4.61,1627355278.0
Dwārka,68.9678,22.2394,83.05,83.0,100.0,24.29,1627355278.0
Mataram,116.1167,-8.5833,85.01,53.0,12.0,7.31,1627355278.0
Mogadishu,45.3438,2.0371,76.12,82.0,95.0,21.85,1627355279.0
Bilibino,166.4372,68.0546,55.94,45.0,76.0,16.87,1627355048.0
Luena,19.9167,-11.7833,45.61,50.0,100.0,4.7,1627355279.0
Ndélé,20.6473,8.4109,68.34,98.0,100.0,2.33,1627355279.0
,,,,,,,
Lavrentiya,-171.0,65.5833,44.89,99.0,100.0,4.18,1627355280.0
Niquelândia,-48.4597,-14.4739,65.84,43.0,0.0,3.24,1627354990.0
Dicabisagan,122.4157,17.0818,91.02,58.0,86.0,4.32,1627355280.0
Waingapu,120.2641,-9.6567,86.13,53.0,35.0,12.33,1627355194.0
Urengoy,78.3667,65.9667,47.68,96.0,100.0,18.95,1627355280.0
Saint-Philippe,55.7679,-21.3585,65.79,84.0,83.0,9.15,1627355281.0
Richards Bay,32.0377,-28.783,60.22,60.0,21.0,14.56,1627355120.0
Puerto Escondido,-97.0667,15.85,83.23,69.0,40.0,6.91,1627355196.0
Centerville,-84.1594,39.6284,75.18,79.0,1.0,0.0,1627355281.0
Märsta,17.8548,59.6216,69.19,94.0,89.0,9.22,1627355282.0
Hambantota,81.1185,6.1241,84.54,79.0,100.0,13.8,1627355282.0
Manuk Mangkaw,119.85,4.8,84.63,78.0,18.0,16.17,1627355282.0
Abhā,42.5053,18.2164,64.78,73.0,73.0,3.24,1627355282.0
Deming,-107.7586,32.2687,80.78,36.0,40.0,10.36,1627355055.0
Langarūd,50.1535,37.197,73.45,65.0,2.0,2.28,1627355283.0
Quatre Cocos,57.7625,-20.2078,67.08,77.0,77.0,13.4,1627355219.0
Baruun-Urt,113.2792,46.6806,70.38,50.0,16.0,3.98,1627355043.0
Saskylakh,114.0833,71.9167,60.67,58.0,98.0,9.08,1627355283.0
Mackenzie,-123.1698,55.2999,60.13,75.0,62.0,3.36,1627355284.0
Fairbanks,-147.7164,64.8378,71.56,49.0,75.0,9.22,1627355157.0
Peniche,-9.3811,39.3558,66.72,89.0,7.0,15.97,1627355284.0
Caravelas,-39.2481,-17.7125,68.29,91.0,4.0,4.76,1627355284.0
,,,,,,,
Raymond,-70.4703,43.9015,70.99,91.0,8.0,2.77,1627355285.0
Ambilobe,49.05,-13.2,65.66,74.0,48.0,3.78,1627355237.0
Thompson,-97.8558,55.7435,60.84,41.0,10.0,3.04,1627355059.0
Havre-St-Pierre,-63.5986,50.2334,58.28,98.0,84.0,5.21,1627355071.0
Tezu,96.1667,27.9167,77.97,98.0,100.0,0.54,1627355097.0
Fortuna,-124.1573,40.5982,56.86,90.0,90.0,1.01,1627355285.0
Luganville,167.1667,-15.5333,79.29,85.0,98.0,11.88,1627355286.0
Suntar,117.6319,62.1444,88.2,37.0,32.0,2.82,1627355222.0
Charlottesville,-78.4767,38.0293,76.59,89.0,75.0,1.99,1627355231.0
Port Blair,92.75,11.6667,84.31,80.0,75.0,20.67,1627355204.0
Kushima,131.2333,31.4583,89.11,57.0,0.0,5.55,1627355286.0
The Valley,-63.0578,18.217,82.09,75.0,98.0,18.23,1627355286.0
Antalaha,50.2788,-14.9003,67.5,82.0,76.0,9.95,1627355217.0
Sisimiut,-53.6735,66.9395,57.87,65.0,73.0,13.13,1627355287.0
Pevek,170.3133,69.7008,36.46,88.0,86.0,18.61,1627355287.0
Northam,-4.2167,51.0333,63.66,97.0,100.0,10.2,1627355287.0
Guangming,122.7833,45.3333,80.08,73.0,99.0,7.07,1627355288.0
Shahr-e Bābak,55.1186,30.1165,77.47,21.0,2.0,19.91,1627355288.0
Gurun,100.4738,5.8172,86.74,68.0,75.0,2.44,1627355288.0
Prainha,-53.48,-1.8,75.63,67.0,19.0,2.57,1627355289.0
Lakes Entrance,147.981,-37.8811,66.18,42.0,4.0,8.34,1627355289.0
Jumla,82.1838,29.2747,69.28,86.0,98.0,3.06,1627355054.0
Ancud,-73.8203,-41.8697,42.33,80.0,26.0,4.7,1627355289.0
Bouza,6.0428,14.4229,72.64,84.0,100.0,7.63,1627355290.0
Saint George,-113.5841,37.1041,79.54,83.0,1.0,3.44,1627355290.0
,,,,,,,
Marsh Harbour,-77.0636,26.5412,82.98,76.0,3.0,10.31,1627355290.0
Pochutla,-96.4661,15.7432,81.45,93.0,100.0,3.94,1627355291.0
Isahaya,130.0431,32.8411,97.45,59.0,20.0,6.91,1627355291.0
Madison,-86.5667,34.7334,79.47,88.0,20.0,1.01,1627355125.0
Murgab,61.9714,37.4966,89.24,18.0,0.0,15.93,1627355291.0
Los Llanos de Aridane,-17.9182,28.6585,69.55,96.0,90.0,13.8,1627355058.0
Buri,-48.5928,-23.7975,60.08,51.0,2.0,3.49,1627355292.0
Kushiro,144.3747,42.975,65.35,97.0,100.0,11.99,1627355292.0
Lahān,86.4951,26.7296,80.96,87.0,100.0,2.28,1627355292.0
Lamu,40.902,-2.2717,71.82,80.0,55.0,19.17,1627355292.0
,,,,,,,
Tual,132.75,-5.6667,81.52,77.0,50.0,17.0,1627355293.0
Nador,-2.9287,35.174,68.25,88.0,0.0,1.14,1627355293.0
Mehamn,27.8492,71.0357,40.95,93.0,0.0,2.3,1627355293.0
Makanya,37.8333,-4.3667,58.59,83.0,12.0,3.53,1627355294.0
Contamana,-75.0167,-7.3333,75.96,74.0,11.0,1.97,1627355294.0
Chabahar,60.643,25.2919,84.79,80.0,70.0,4.61,1627355294.0
Arraial do Cabo,-42.0278,-22.9661,69.94,85.0,0.0,25.08,1627355295.0
Agbor,6.1934,6.2518,68.13,89.0,99.0,3.89,1627355295.0
Avera,-82.5271,33.194,81.91,70.0,49.0,6.38,1627355295.0
Ahar,47.0699,38.4774,69.4,62.0,56.0,3.2,1627355295.0
Mlowo,32.9833,-9.0,43.88,94.0,21.0,4.38,1627355296.0
São José da Coroa Grande,-35.1478,-8.8978,73.72,88.0,48.0,7.02,1627355296.0
Hīt,42.8251,33.6416,95.68,20.0,6.0,10.54,1627355296.0
Olinda,-34.8553,-8.0089,69.53,88.0,75.0,4.61,1627355288.0
Carauari,-66.8958,-4.8828,76.3,76.0,45.0,2.19,1627355297.0
Seminole,-81.2081,28.7086,82.53,86.0,1.0,5.75,1627355297.0
Upernavik,-56.1549,72.7868,46.18,90.0,100.0,9.42,1627354954.0
,,,,,,,
Hong Kong,114.1577,22.2855,94.96,77.0,99.0,7.0,1627355298.0
Mahébourg,57.7,-20.4081,67.24,78.0,76.0,14.72,1627355147.0
Marzuq,46.4667,14.4,72.93,75.0,86.0,6.33,1627355298.0
Buta,24.73,2.7858,69.48,99.0,100.0,1.9,1627355298.0
Rocha,-54.3333,-34.4833,43.23,92.0,4.0,5.97,1627355191.0
Hābra,88.6275,22.8344,84.09,79.0,95.0,5.44,1627355299.0
Tessalit,1.0114,20.1986,90.86,35.0,100.0,7.72,1627355299.0
Nyurba,118.3319,63.2842,84.22,47.0,0.0,5.75,1627355299.0
Isangel,169.2667,-19.55,74.53,64.0,100.0,15.39,1627354983.0
Kaitangata,169.8464,-46.2817,55.92,46.0,8.0,8.1,1627355061.0
Nuevo Progreso,-97.95,23.1667,83.59,88.0,6.0,2.66,1627355300.0
Sibiti,13.3499,-3.6819,63.52,98.0,26.0,2.17,1627355300.0
Antofagasta,-70.4,-23.65,57.33,76.0,30.0,7.18,1627355000.0
Tafresh,50.013,34.692,73.26,32.0,0.0,6.08,1627355300.0
Cerrito,-72.694,6.8432,51.19,94.0,100.0,4.85,1627355301.0
Anloga,0.8973,5.7947,76.06,78.0,100.0,14.16,1627355301.0
Lata,-8.3327,40.1629,63.91,97.0,59.0,2.73,1627355173.0
Jamestown,-79.2353,42.097,69.51,77.0,1.0,4.23,1627355100.0
Mossamedes,12.1522,-15.1961,63.9,80.0,0.0,3.76,1627355063.0
Kenai,-151.2583,60.5544,63.03,88.0,90.0,10.36,1627355301.0
Ossora,163.0719,59.2353,65.12,65.0,100.0,16.33,1627355302.0
,,,,,,,
Olafsvik,-23.7142,64.8945,50.29,84.0,96.0,12.8,1627355133.0
Ust-Nera,143.2,64.5667,61.18,65.0,100.0,6.58,1627355302.0
Palmer,-72.3287,42.1584,72.93,83.0,1.0,0.0,1627355104.0
Tinskoy,96.9161,56.1525,78.8,50.0,2.0,3.8,1627355302.0
Noormarkku,21.8685,61.5927,56.98,88.0,0.0,3.44,1627355303.0
Takoradze,-1.7554,4.8845,75.54,80.0,100.0,10.38,1627355303.0
Vila Franca do Campo,-25.4333,37.7167,70.21,92.0,94.0,4.97,1627355184.0
Imbituba,-48.6703,-28.24,66.81,87.0,100.0,8.41,1627355303.0
Atbasar,68.3333,51.8,61.93,44.0,4.0,6.13,1627355304.0
Hirara,125.2833,24.8,84.06,94.0,75.0,8.05,1627355304.0
Luoyang,112.4536,34.6836,88.43,62.0,3.0,1.07,1627355074.0
Ahipara,173.1667,-35.1667,57.9,68.0,3.0,16.15,1627355183.0
Constitución,-72.4167,-35.3333,44.74,67.0,0.0,12.93,1627355203.0
Tibati,12.6333,6.4667,64.63,97.0,100.0,1.21,1627355305.0
Cabo San Lucas,-109.9124,22.8909,89.51,72.0,1.0,5.99,1627355163.0
Viedma,-62.9967,-40.8135,42.8,65.0,99.0,23.62,1627355239.0
São Desidério,-44.9733,-12.3633,63.36,54.0,5.0,2.77,1627355305.0
Batesville,-91.641,35.7698,83.95,81.0,1.0,0.0,1627355305.0
Lüderitz,15.1594,-26.6481,58.91,67.0,0.0,6.8,1627355008.0
Chui,-53.4616,-33.6971,45.37,85.0,0.0,7.83,1627355022.0
Monterey,-121.2516,36.2505,67.84,46.0,40.0,4.94,1627355306.0
Necochea,-58.7368,-38.5473,37.04,69.0,95.0,21.9,1627355306.0
Pathein,94.7333,16.7833,81.21,87.0,99.0,13.35,1627355306.0
Camaná,-72.7111,-16.6228,60.58,90.0,62.0,11.52,1627355307.0
Manacapuru,-60.6206,-3.2997,75.78,74.0,99.0,3.06,1627355069.0
,,,,,,,
Ocampo,-101.5,21.65,60.62,64.0,11.0,12.26,1627355307.0
Alyangula,136.4192,-13.8483,78.78,70.0,66.0,1.88,1627355056.0
Şuhut,30.5458,38.5311,58.59,79.0,0.0,4.74,1627355308.0
Laje,-40.9667,-10.1833,65.19,90.0,42.0,5.06,1627355308.0
,,,,,,,
Taoudenni,-3.9836,22.6783,96.55,8.0,0.0,4.45,1627355308.0
Avilés,-5.9248,43.5547,65.59,77.0,75.0,8.05,1627355309.0
Smoky Lake,-112.4686,54.1169,71.49,65.0,73.0,2.62,1627355309.0
Romitan,64.3814,39.9343,80.55,24.0,0.0,18.41,1627355309.0
,,,,,,,
Korla,86.1469,41.7597,91.83,17.0,0.0,11.45,1627355310.0
Arrondissement de Tarbes,0.1667,43.25,58.89,100.0,0.0,4.61,1627355310.0
Coahuayana Viejo,-103.6833,18.7333,79.81,88.0,57.0,0.63,1627355310.0
Venâncio Aires,-52.1919,-29.6064,66.25,98.0,100.0,3.06,1627355091.0
Cherskiy,161.3,68.75,52.25,50.0,11.0,23.2,1627355032.0
Mingshui,117.5,36.7167,89.58,70.0,96.0,3.8,1627355311.0
,,,,,,,
,,,,,,,
Cidreira,-50.2056,-30.1811,62.35,98.0,100.0,8.95,1627355311.0
Sobolevo,31.8996,54.4299,61.83,78.0,16.0,5.23,1627355311.0
Kupino,77.2981,54.3663,60.75,58.0,1.0,8.72,1627355312.0
Vigrestad,5.7,58.5667,63.97,95.0,100.0,3.11,1627355312.0
Weston,-80.3998,26.1004,84.02,87.0,1.0,0.0,1627355312.0
Barra de Tecoanapa,-98.75,16.5167,82.09,77.0,100.0,5.41,1627355078.0
Ulaanbaatar,106.8832,47.9077,71.73,46.0,20.0,4.47,1627355313.0
Saint-Joseph,55.6167,-21.3667,64.78,82.0,42.0,11.36,1627355313.0
Cabedelo,-34.8339,-6.9811,72.27,83.0,4.0,8.05,1627355051.0
Lebu,-73.65,-37.6167,45.07,79.0,55.0,16.89,1627355056.0
Alofi,-169.9187,-19.0595,80.49,69.0,40.0,5.75,1627355314.0
,,,,,,,
Haifa,34.9892,32.8156,81.54,83.0,40.0,5.75,1627355314.0
Port Lincoln,135.8667,-34.7333,63.52,48.0,86.0,30.33,1627355314.0
Krasnooktyabrskiy,38.3712,44.9328,78.1,56.0,100.0,3.8,1627355315.0
Tiksi,128.8694,71.6872,37.87,89.0,81.0,9.64,1627355055.0
San Cristobal,-72.225,7.7669,66.61,94.0,99.0,2.24,1627355315.0
Kathu,98.3332,7.9178,87.62,73.0,81.0,14.99,1627355315.0
La Crosse,-91.2396,43.8014,76.35,84.0,3.0,6.67,1627355094.0
Kantunilkín,-87.45,21.0917,80.44,90.0,49.0,2.06,1627355316.0
Watrous,-105.4679,51.6668,71.64,38.0,0.0,4.83,1627355316.0
Amapá,-52.0,1.0,70.21,97.0,64.0,2.21,1627355316.0
Marsá Maţrūḩ,27.2453,31.3525,76.51,77.0,0.0,10.78,1627355316.0
,,,,,,,
Barcelos,-8.6151,41.5388,63.91,91.0,3.0,3.15,1627355252.0
Paragominas,-47.4833,-2.9667,71.1,67.0,12.0,3.53,1627355317.0
Pergine Valsugana,11.238,46.065,66.61,93.0,100.0,3.0,1627355317.0
Dawei,98.2,14.0833,80.2,87.0,100.0,6.13,1627355317.0
Katherine,132.2667,-14.4667,86.32,35.0,33.0,4.61,1627355315.0
Doka,35.7667,13.5167,68.68,95.0,100.0,7.47,1627355318.0
Tilichiki,166.1,60.4667,55.31,96.0,100.0,3.87,1627355318.0
Daram,124.7947,11.6341,88.0,65.0,93.0,12.95,1627355318.0
Nieuw Amsterdam,-55.0833,5.8833,79.02,90.0,97.0,5.68,1627355319.0
Nsanje,35.262,-16.92,54.48,97.0,39.0,1.1,1627355319.0
Airai,125.4092,-8.9266,76.66,27.0,72.0,5.3,1627355319.0
,,,,,,,
Hasaki,140.8333,35.7333,81.28,74.0,23.0,19.95,1627355320.0
Vila Velha,-40.2925,-20.3297,67.95,94.0,0.0,4.61,1627355266.0
Dukat,155.55,62.55,49.78,81.0,100.0,6.33,1627355320.0
Caconda,15.0667,-13.7333,49.21,45.0,17.0,4.72,1627355320.0
Pisco,-76.2167,-13.7,64.45,82.0,0.0,10.36,1627355054.0
Klaksvík,-6.589,62.2266,50.92,99.0,100.0,7.85,1627355050.0
Puri,85.85,19.8,86.38,77.0,100.0,7.07,1627355321.0
Talā,30.9429,30.6803,71.31,78.0,0.0,4.18,1627355321.0
Pampa,-100.9599,35.5362,78.1,83.0,40.0,5.75,1627355321.0
Bathsheba,-59.5167,13.2167,81.21,78.0,20.0,12.66,1627355125.0
Sarangani,125.4636,5.4033,84.16,73.0,100.0,14.09,1627355322.0
Dosso,3.1937,13.049,79.18,74.0,100.0,12.66,1627355322.0
Tautira,-149.15,-17.7333,82.0,77.0,22.0,7.9,1627355322.0
,,,,,,,
Puerto Madryn,-65.0385,-42.7692,42.39,67.0,46.0,33.02,1627355323.0
Port Hueneme,-119.1951,34.1478,79.14,83.0,1.0,5.75,1627355314.0
Krasnoarmeysk,45.6969,51.0239,66.29,53.0,0.0,2.62,1627355323.0
,,,,,,,
,,,,,,,
San Patricio,-97.5169,28.017,84.04,70.0,3.0,8.66,1627355078.0
Matara,80.5353,5.9485,82.45,78.0,96.0,13.49,1627355264.0
Kigali,30.0588,-1.95,56.43,60.0,46.0,0.89,1627355324.0
Arlit,7.3853,18.7369,90.14,43.0,92.0,18.39,1627355324.0
North Platte,-100.7654,41.1239,81.01,75.0,1.0,1.01,1627355656.0
,,,,,,,
Coari,-63.1414,-4.085,75.52,76.0,60.0,3.4,1627355325.0
Broken Hill,141.4333,-31.95,65.55,27.0,7.0,29.17,1627355325.0
,,,,,,,
